"logZ","niter","error","relative_error","below_tolerance","method","mu","nu","max_iter","eps","true_value"
0.219466,19,7.95043e-15,6.38378e-15,1,"brms",0.2,0.1,1e+05,1e-14,0.219465836541704
0.219466,19,6.22208e-16,4.996e-16,1,"brms_bulk",0.2,0.1,1e+05,1e-14,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-15,0.219465836541704
0.219466,21,-2.4197e-16,-1.94289e-16,1,"ST",0.2,0.1,1e+05,1e-15,0.219465836541704
0.219466,19,1.72836e-16,1.38778e-16,1,"errorBounding",0.2,0.1,1e+05,1e-15,0.219465836541704
0.219466,21,-3.45671e-17,-2.77556e-17,1,"brms",0.2,0.1,1e+05,1e-15,0.219465836541704
0.219466,21,-4.8394e-16,-3.88578e-16,1,"brms_bulk",0.2,0.1,1e+05,1e-15,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-16,0.219465836541704
0.219466,22,-2.4197e-16,-1.94289e-16,0,"ST",0.2,0.1,1e+05,1e-16,0.219465836541704
0.219466,20,-2.4197e-16,-1.94289e-16,0,"errorBounding",0.2,0.1,1e+05,1e-16,0.219465836541704
0.219466,22,-3.45671e-17,-2.77556e-17,1,"brms",0.2,0.1,1e+05,1e-16,0.219465836541704
0.219466,22,-4.8394e-16,-3.88578e-16,0,"brms_bulk",0.2,0.1,1e+05,1e-16,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-17,0.219465836541704
0.219466,23,-2.4197e-16,-1.94289e-16,0,"ST",0.2,0.1,1e+05,1e-17,0.219465836541704
0.219466,22,-2.4197e-16,-1.94289e-16,0,"errorBounding",0.2,0.1,1e+05,1e-17,0.219465836541704
0.219466,23,-3.45671e-17,-2.77556e-17,0,"brms",0.2,0.1,1e+05,1e-17,0.219465836541704
0.219466,23,-4.8394e-16,-3.88578e-16,0,"brms_bulk",0.2,0.1,1e+05,1e-17,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-18,0.219465836541704
0.219466,24,-4.8394e-16,-3.88578e-16,0,"ST",0.2,0.1,1e+05,1e-18,0.219465836541704
0.219466,23,-4.8394e-16,-3.88578e-16,0,"errorBounding",0.2,0.1,1e+05,1e-18,0.219465836541704
0.219466,24,-3.45671e-17,-2.77556e-17,0,"brms",0.2,0.1,1e+05,1e-18,0.219465836541704
0.219466,24,-4.8394e-16,-3.88578e-16,0,"brms_bulk",0.2,0.1,1e+05,1e-18,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-19,0.219465836541704
0.219466,25,-2.4197e-16,-1.94289e-16,0,"ST",0.2,0.1,1e+05,1e-19,0.219465836541704
0.219466,24,-2.4197e-16,-1.94289e-16,0,"errorBounding",0.2,0.1,1e+05,1e-19,0.219465836541704
0.219466,25,-3.45671e-17,-2.77556e-17,0,"brms",0.2,0.1,1e+05,1e-19,0.219465836541704
0.219466,25,-4.8394e-16,-3.88578e-16,0,"brms_bulk",0.2,0.1,1e+05,1e-19,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-20,0.219465836541704
0.219466,27,-2.4197e-16,-1.94289e-16,0,"ST",0.2,0.1,1e+05,1e-20,0.219465836541704
0.219466,25,-2.4197e-16,-1.94289e-16,0,"errorBounding",0.2,0.1,1e+05,1e-20,0.219465836541704
0.219466,27,-3.45671e-17,-2.77556e-17,0,"brms",0.2,0.1,1e+05,1e-20,0.219465836541704
0.219466,27,-4.8394e-16,-3.88578e-16,0,"brms_bulk",0.2,0.1,1e+05,1e-20,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.5,0.1,1e+05,0.1,0.650381428694226
0.632992,5,0.0330345,0.0172389,1,"ST",0.5,0.1,1e+05,0.1,0.650381428694226
0.631353,4,0.0361184,0.0188483,1,"errorBounding",0.5,0.1,1e+05,0.1,0.650381428694226
0.608544,5,0.0785185,0.0409746,1,"brms",0.5,0.1,1e+05,0.1,0.650381428694226
0.632992,5,0.0330345,0.0172389,1,"brms_bulk",0.5,0.1,1e+05,0.1,0.650381428694226
NA,NA,0,0,1,"Gaunt",0.5,0.1,1e+05,0.01,0.650381428694226
0.647465,7,0.00558073,0.00291228,1,"ST",0.5,0.1,1e+05,0.01,0.650381428694226
0.646984,6,0.00649844,0.00339119,1,"errorBounding",0.5,0.1,1e+05,0.01,0.650381428694226
0.64322,7,0.0136733,0.00713537,0,"brms",0.5,0.1,1e+05,0.01,0.650381428694226
0.647465,7,0.00558073,0.00291228,1,"brms_bulk",0.5,0.1,1e+05,0.01,0.650381428694226
NA,NA,0,0,1,"Gaunt",0.5,0.1,1e+05,0.001,0.650381428694226
0.650197,10,0.000354277,0.000184879,1,"ST",0.5,0.1,1e+05,0.001,0.650381428694226
0.650155,9,0.000434685,0.000226839,1,"errorBounding",0.5,0.1,1e+05,0.001,0.650381428694226
0.649913,10,0.00089722,0.000468211,1,"brms",0.5,0.1,1e+05,0.001,0.650381428694226
0.650197,10,0.000354277,0.000184879,1,"brms_bulk",0.5,0.1,1e+05,0.001,0.650381428694226
NA,NA,0,0,1,"Gaunt",0.5,0.1,1e+05,1e-04,0.650381428694226
0.650353,12,5.38093e-05,2.80802e-05,1,"ST",0.5,0.1,1e+05,1e-04,0.650381428694226
0.650346,11,6.76065e-05,3.52802e-05,1,"errorBounding",0.5,0.1,1e+05,1e-04,0.650381428694226
0.650309,12,0.00013864,7.2349e-05,0,"brms",0.5,0.1,1e+05,1e-04,0.650381428694226
0.650353,12,5.38093e-05,2.80802e-05,1,"brms_bulk",0.5,0.1,1e+05,1e-04,0.650381428694226
NA,NA,0,0,1,"Gaunt",0.5,0.1,1e+05,1e-05,0.650381428694226
0.65038,15,3.01181e-06,1.5717e-06,1,"ST",0.5,0.1,1e+05,1e-05,0.650381428694226
0.650379,14,3.88884e-06,2.02938e-06,1,"errorBounding",0.5,0.1,1e+05,1e-05,0.650381428694226
0.650377,15,7.92699e-06,4.13667e-06,1,"brms",0.5,0.1,1e+05,1e-05,0.650381428694226
0.65038,15,3.01181e-06,1.5717e-06,1,"brms_bulk",0.5,0.1,1e+05,1e-05,0.650381428694226
NA,NA,0,0,1,"Gaunt",0.5,0.1,1e+05,1e-06,0.650381428694226
0.650381,17,4.26919e-07,2.22786e-07,1,"ST",0.5,0.1,1e+05,1e-06,0.650381428694226
0.650381,16,5.59404e-07,2.91923e-07,1,"errorBounding",0.5,0.1,1e+05,1e-06,0.650381428694226
0.650381,17,1.13725e-06,5.93468e-07,0,"brms",0.5,0.1,1e+05,1e-06,0.650381428694226
0.650381,17,4.26919e-07,2.22786e-07,1,"brms_bulk",0.5,0.1,1e+05,1e-06,0.650381428694226
NA,NA,0,0,1,"Gaunt",0.5,0.1,1e+05,1e-07,0.650381428694226
0.650381,20,2.18742e-08,1.1415e-08,1,"ST",0.5,0.1,1e+05,1e-07,0.650381428694226
0.650381,18,7.85591e-08,4.09958e-08,1,"errorBounding",0.5,0.1,1e+05,1e-07,0.650381428694226
0.650381,20,5.91924e-08,3.08893e-08,1,"brms",0.5,0.1,1e+05,1e-07,0.650381428694226
0.650381,20,2.18742e-08,1.1415e-08,1,"brms_bulk",0.5,0.1,1e+05,1e-07,0.650381428694226
NA,NA,0,0,1,"Gaunt",0.5,0.1,1e+05,1e-08,0.650381428694226
0.650381,22,2.9457e-09,1.5372e-09,1,"ST",0.5,0.1,1e+05,1e-08,0.650381428694226
0.650381,21,3.97453e-09,2.0741e-09,1,"errorBounding",0.5,0.1,1e+05,1e-08,0.650381428694226
0.650381,22,8.04529e-09,4.19841e-09,1,"brms",0.5,0.1,1e+05,1e-08,0.650381428694226
0.650381,22,2.9457e-09,1.5372e-09,1,"brms_bulk",0.5,0.1,1e+05,1e-08,0.650381428694226
NA,NA,0,0,1,"Gaunt",0.5,0.1,1e+05,1e-09,0.650381428694226
0.650381,24,3.89871e-10,2.03453e-10,1,"ST",0.5,0.1,1e+05,1e-09,0.650381428694226
0.650381,23,5.31136e-10,2.77172e-10,1,"errorBounding",0.5,0.1,1e+05,1e-09,0.650381428694226
0.650381,24,1.07388e-09,5.604e-10,0,"brms",0.5,0.1,1e+05,1e-09,0.650381428694226
0.650381,24,3.89871e-10,2.03453e-10,1,"brms_bulk",0.5,0.1,1e+05,1e-09,0.650381428694226
